"X","Class","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","print","population","habitat"
1738,"Edible","x","f","n","t","Musty","f","c","b","u","t","b","s","s","g","p","p","w","o","p","Buff","v","d"
1739,"Edible","f","s","w","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1740,"Poisonous","f","s","w","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
1741,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1742,"Edible","f","f","n","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1743,"Edible","f","s","g","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1744,"Edible","x","f","w","f","Musty","f","w","b","n","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1745,"Edible","f","y","n","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Chocolate","y","g"
1746,"Poisonous","f","s","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","s","g"
1747,"Edible","x","f","w","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1748,"Edible","f","f","n","f","Musty","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","y","u"
1749,"Poisonous","f","y","n","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
1750,"Edible","f","s","w","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Chocolate","s","g"
1751,"Edible","x","f","g","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1752,"Edible","f","y","y","t","Almonds","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","y","p"
1753,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1754,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1755,"Poisonous","f","y","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","s","g"
1756,"Edible","f","f","n","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1757,"Edible","f","f","g","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1758,"Edible","x","f","n","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1759,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","p","p","p","w","o","p","Chocolate","v","d"
1760,"Edible","x","s","g","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","s","g"
1761,"Edible","x","s","g","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1762,"Edible","x","f","w","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","s","g"
1763,"Edible","f","f","g","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1764,"Edible","x","f","n","t","Musty","f","c","b","n","t","b","s","s","w","w","p","w","o","p","Buff","y","d"
1765,"Edible","x","s","w","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1766,"Poisonous","x","s","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
1767,"Edible","f","s","g","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Chocolate","a","g"
1768,"Edible","x","s","n","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1769,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","w","g","p","w","o","p","Buff","v","d"
1770,"Edible","x","y","y","t","Almonds","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","y","g"
1771,"Edible","x","s","g","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1772,"Edible","x","f","n","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1773,"Edible","x","f","w","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
1774,"Edible","x","y","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
1775,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","g","w","p","w","o","p","Buff","y","d"
1776,"Edible","x","f","w","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
1777,"Edible","x","f","w","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1778,"Poisonous","f","s","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
1779,"Poisonous","f","s","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
1780,"Edible","x","s","n","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
1781,"Edible","x","f","g","f","Musty","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
1782,"Edible","f","s","n","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Buff","s","g"
1783,"Edible","x","s","w","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1784,"Poisonous","f","s","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Buff","s","g"
1785,"Edible","b","s","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
1786,"Edible","x","f","n","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1787,"Poisonous","f","y","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Buff","s","u"
1788,"Edible","x","s","g","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1789,"Edible","x","s","g","f","Musty","f","w","b","k","t","e","s","f","w","w","p","w","o","e","Chocolate","s","g"
1790,"Edible","x","s","w","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1791,"Poisonous","f","s","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
1792,"Edible","f","s","w","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1793,"Edible","x","f","n","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1794,"Edible","f","f","n","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1795,"Edible","x","f","n","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Chocolate","a","g"
1796,"Poisonous","f","y","n","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","g"
1797,"Edible","x","f","w","f","Musty","f","w","b","p","t","e","s","f","w","w","p","w","o","e","Chocolate","s","g"
1798,"Edible","f","s","w","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1799,"Poisonous","f","y","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
1800,"Edible","f","s","g","f","Musty","f","w","b","p","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1801,"Edible","f","y","n","t","Musty","f","c","b","w","t","b","s","s","w","g","p","w","o","p","Chocolate","v","d"
1802,"Edible","x","f","g","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Chocolate","a","g"
1803,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","w","p","p","w","o","p","Buff","v","d"
1804,"Edible","x","y","n","t","Musty","f","c","b","p","t","b","s","s","p","w","p","w","o","p","Chocolate","v","d"
1805,"Edible","f","f","n","t","Musty","f","c","b","n","t","b","s","s","p","g","p","w","o","p","Chocolate","y","d"
1806,"Edible","f","y","e","t","Musty","f","c","b","p","t","b","s","s","p","p","p","w","o","p","Buff","v","d"
1807,"Edible","f","s","g","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
1808,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","p","p","p","w","o","p","Chocolate","y","d"
1809,"Edible","x","y","g","t","Musty","f","c","b","p","t","b","s","s","g","p","p","w","o","p","Buff","y","d"
1810,"Edible","x","f","g","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
1811,"Poisonous","f","s","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","s","g"
1812,"Edible","f","f","n","t","Musty","f","c","b","n","t","b","s","s","g","w","p","w","o","p","Buff","v","d"
1813,"Poisonous","x","s","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Buff","v","g"
1814,"Edible","x","s","w","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
1815,"Edible","x","s","w","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
1816,"Edible","x","y","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
1817,"Poisonous","x","f","g","f","Creosote","f","c","b","h","e","b","k","k","n","b","p","w","o","l","Brown","y","g"
1818,"Edible","f","s","n","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1819,"Edible","f","s","w","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1820,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","g","g","p","w","o","p","Buff","v","d"
1821,"Edible","f","s","n","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1822,"Edible","x","f","n","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1823,"Poisonous","x","s","w","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
1824,"Edible","f","f","n","t","Musty","f","c","b","p","t","b","s","s","p","g","p","w","o","p","Chocolate","y","d"
1825,"Edible","x","y","w","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
1826,"Edible","f","f","g","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1827,"Edible","x","y","e","t","Musty","f","c","b","n","t","b","s","s","w","g","p","w","o","p","Chocolate","v","d"
1828,"Edible","f","f","w","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1829,"Edible","x","s","g","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1830,"Edible","x","y","n","t","Musty","f","c","b","n","t","b","s","s","w","p","p","w","o","p","Buff","v","d"
1831,"Edible","x","y","g","t","Musty","f","c","b","w","t","b","s","s","w","g","p","w","o","p","Chocolate","y","d"
1832,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","g","w","p","w","o","p","Buff","v","d"
1833,"Edible","f","s","w","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1834,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","p","w","p","w","o","p","Buff","v","d"
1835,"Edible","x","f","n","t","Musty","f","c","b","u","t","b","s","s","g","g","p","w","o","p","Chocolate","v","d"
1836,"Edible","x","f","e","t","Musty","f","c","b","w","t","b","s","s","g","w","p","w","o","p","Chocolate","v","d"
1837,"Edible","x","y","n","t","Musty","f","c","b","w","t","b","s","s","p","g","p","w","o","p","Chocolate","y","d"
1838,"Edible","f","f","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1839,"Edible","x","y","n","t","Musty","f","c","b","p","t","b","s","s","p","w","p","w","o","p","Buff","y","d"
1840,"Edible","x","s","g","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1841,"Edible","x","f","g","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1842,"Edible","f","f","w","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1843,"Edible","x","y","g","t","Musty","f","c","b","p","t","b","s","s","w","p","p","w","o","p","Buff","v","d"
1844,"Poisonous","f","y","n","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
1845,"Edible","x","y","e","t","Musty","f","c","b","p","t","b","s","s","p","g","p","w","o","p","Buff","v","d"
1846,"Edible","f","f","w","f","Musty","f","w","b","p","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1847,"Edible","f","s","g","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1848,"Edible","x","y","g","t","Musty","f","c","b","w","t","b","s","s","g","p","p","w","o","p","Chocolate","v","d"
1849,"Edible","f","f","g","t","Musty","f","c","b","p","t","b","s","s","p","w","p","w","o","p","Buff","v","d"
1850,"Edible","x","f","n","t","Musty","f","c","b","w","t","b","s","s","g","w","p","w","o","p","Buff","v","d"
1851,"Edible","f","f","e","t","Musty","f","c","b","n","t","b","s","s","w","p","p","w","o","p","Buff","v","d"
1852,"Edible","x","s","w","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1853,"Edible","x","f","e","t","Musty","f","c","b","w","t","b","s","s","w","g","p","w","o","p","Chocolate","v","d"
1854,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","w","p","p","w","o","p","Buff","v","d"
1855,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","w","w","p","w","o","p","Buff","y","d"
1856,"Edible","x","f","n","t","Musty","f","c","b","n","t","b","s","s","p","w","p","w","o","p","Chocolate","y","d"
1857,"Edible","x","f","y","t","Almonds","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
1858,"Edible","x","f","e","t","Musty","f","c","b","w","t","b","s","s","g","g","p","w","o","p","Chocolate","v","d"
1859,"Poisonous","f","s","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","v","g"
1860,"Edible","x","s","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Buff","s","g"
1861,"Edible","x","f","e","t","Musty","f","c","b","u","t","b","s","s","g","g","p","w","o","p","Chocolate","y","d"
1862,"Edible","x","y","n","t","Musty","f","c","b","w","t","b","s","s","p","p","p","w","o","p","Buff","v","d"
1863,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1864,"Edible","x","f","g","t","Musty","f","c","b","w","t","b","s","s","p","w","p","w","o","p","Chocolate","y","d"
1865,"Edible","x","s","g","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1866,"Edible","x","y","e","t","Musty","f","c","b","w","t","b","s","s","p","g","p","w","o","p","Chocolate","y","d"
1867,"Edible","x","y","n","t","Musty","f","c","b","u","t","b","s","s","p","w","p","w","o","p","Chocolate","v","d"
1868,"Edible","x","s","w","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1869,"Edible","x","s","n","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1870,"Edible","x","s","w","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1871,"Edible","x","s","n","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1872,"Edible","f","f","e","t","Musty","f","c","b","n","t","b","s","s","p","g","p","w","o","p","Chocolate","y","d"
1873,"Edible","f","f","w","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1874,"Edible","f","f","g","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
1875,"Edible","x","y","e","t","Musty","f","c","b","w","t","b","s","s","g","g","p","w","o","p","Chocolate","v","d"
1876,"Edible","x","f","e","t","Musty","f","c","b","p","t","b","s","s","p","w","p","w","o","p","Chocolate","y","d"
1877,"Edible","x","y","g","t","Musty","f","c","b","u","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
1878,"Edible","x","f","e","t","Musty","f","c","b","p","t","b","s","s","w","g","p","w","o","p","Buff","y","d"
1879,"Edible","f","s","n","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1880,"Edible","x","s","w","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
1881,"Edible","x","s","w","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1882,"Edible","x","f","w","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1883,"Edible","x","f","e","t","Musty","f","c","b","u","t","b","s","s","g","p","p","w","o","p","Chocolate","v","d"
1884,"Edible","x","f","n","t","Musty","f","c","b","u","t","b","s","s","g","g","p","w","o","p","Chocolate","y","d"
1885,"Edible","f","f","n","t","Musty","f","c","b","w","t","b","s","s","g","p","p","w","o","p","Buff","v","d"
1886,"Edible","f","f","w","t","Fishy","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
1887,"Edible","f","f","w","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1888,"Poisonous","f","y","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Buff","s","g"
1889,"Edible","f","f","g","t","Musty","f","c","b","n","t","b","s","s","g","g","p","w","o","p","Buff","v","d"
1890,"Edible","x","f","n","t","Musty","f","c","b","w","t","b","s","s","w","g","p","w","o","p","Chocolate","v","d"
1891,"Edible","x","s","w","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Chocolate","a","g"
1892,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Chocolate","a","g"
1893,"Edible","x","s","n","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1894,"Edible","x","f","n","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1895,"Edible","x","s","g","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1896,"Edible","x","y","n","t","Musty","f","c","b","w","t","b","s","s","g","g","p","w","o","p","Chocolate","v","d"
1897,"Edible","x","f","n","t","Musty","f","c","b","u","t","b","s","s","p","p","p","w","o","p","Chocolate","y","d"
1898,"Edible","f","s","g","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1899,"Edible","f","s","n","f","Musty","f","w","b","n","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1900,"Edible","x","s","g","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
1901,"Edible","f","f","g","t","Musty","f","c","b","n","t","b","s","s","p","w","p","w","o","p","Buff","y","d"
1902,"Edible","x","s","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Chocolate","a","g"
1903,"Edible","f","f","n","f","Musty","f","w","b","k","t","e","s","f","w","w","p","w","o","e","Chocolate","a","g"
1904,"Edible","f","s","w","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1905,"Edible","x","f","g","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","s","g"
1906,"Edible","f","f","n","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1907,"Edible","f","f","n","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1908,"Edible","x","f","n","t","Musty","f","c","b","w","t","b","s","s","w","p","p","w","o","p","Chocolate","v","d"
1909,"Edible","f","s","g","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1910,"Edible","f","s","w","f","Musty","f","w","b","n","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1911,"Edible","x","y","e","t","Musty","f","c","b","p","t","b","s","s","g","w","p","w","o","p","Buff","v","d"
1912,"Edible","x","y","g","t","Musty","f","c","b","u","t","b","s","s","g","g","p","w","o","p","Buff","v","d"
1913,"Edible","x","y","e","t","Musty","f","c","b","n","t","b","s","s","g","p","p","w","o","p","Buff","v","d"
1914,"Edible","x","f","g","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1915,"Edible","f","f","g","f","Musty","f","w","b","p","t","e","f","s","w","w","p","w","o","e","Chocolate","a","g"
1916,"Edible","f","y","y","t","Fishy","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","y","g"
1917,"Poisonous","f","y","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
1918,"Edible","f","s","n","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1919,"Edible","f","f","n","f","Musty","f","w","b","k","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1920,"Edible","f","f","n","t","Musty","f","c","b","p","t","b","s","s","g","w","p","w","o","p","Buff","v","d"
1921,"Edible","x","f","e","t","Musty","f","c","b","u","t","b","s","s","g","w","p","w","o","p","Buff","y","d"
1922,"Edible","f","f","g","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1923,"Edible","x","f","n","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1924,"Edible","x","f","g","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1925,"Edible","x","y","e","t","Musty","f","c","b","w","t","b","s","s","g","w","p","w","o","p","Chocolate","v","d"
1926,"Edible","f","f","n","t","Musty","f","c","b","w","t","b","s","s","g","w","p","w","o","p","Buff","v","d"
1927,"Edible","x","f","n","f","Musty","f","w","b","p","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1928,"Edible","x","f","n","f","Musty","f","w","b","p","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
1929,"Edible","f","s","w","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1930,"Edible","f","s","g","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1931,"Poisonous","f","y","w","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Buff","s","u"
1932,"Edible","b","s","w","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
1933,"Edible","x","f","n","t","Musty","f","c","b","w","t","b","s","s","g","w","p","w","o","p","Chocolate","v","d"
1934,"Edible","f","f","g","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1935,"Edible","x","f","n","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
1936,"Edible","x","s","n","f","Musty","f","w","b","k","t","e","s","f","w","w","p","w","o","e","Chocolate","s","g"
1937,"Edible","f","s","w","t","Fishy","f","w","n","n","t","b","s","s","w","w","p","w","o","p","Purple","v","d"
1938,"Edible","x","f","w","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1939,"Edible","x","s","w","f","Musty","f","w","b","h","t","e","f","s","w","w","p","w","o","e","Buff","a","g"
1940,"Edible","x","s","g","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Buff","s","g"
1941,"Edible","x","y","e","t","Musty","f","c","b","p","t","b","s","s","w","p","p","w","o","p","Buff","v","d"
1942,"Edible","f","f","n","t","Musty","f","c","b","n","t","b","s","s","g","p","p","w","o","p","Buff","v","d"
1943,"Edible","x","f","n","t","Musty","f","c","b","n","t","b","s","s","w","w","p","w","o","p","Buff","v","d"
1944,"Edible","f","f","w","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1945,"Edible","f","s","n","f","Musty","f","w","b","n","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
1946,"Poisonous","f","s","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
1947,"Edible","f","f","n","f","Musty","f","w","b","p","t","e","f","f","w","w","p","w","o","e","Chocolate","s","g"
1948,"Edible","x","y","g","t","Musty","f","c","b","w","t","b","s","s","g","g","p","w","o","p","Chocolate","y","d"
1949,"Edible","x","y","g","t","Musty","f","c","b","n","t","b","s","s","g","g","p","w","o","p","Chocolate","v","d"
1950,"Edible","x","f","g","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
1951,"Edible","x","f","g","t","Musty","f","c","b","w","t","b","s","s","p","p","p","w","o","p","Chocolate","v","d"
1952,"Edible","x","y","e","t","Musty","f","c","b","u","t","b","s","s","p","p","p","w","o","p","Chocolate","v","d"
1953,"Edible","x","f","g","t","Musty","f","c","b","p","t","b","s","s","g","p","p","w","o","p","Buff","y","d"
1954,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","p","w","p","w","o","p","Chocolate","v","d"
1955,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","p","g","p","w","o","p","Buff","v","d"
1956,"Poisonous","x","s","w","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","v","g"
1957,"Edible","x","f","n","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1958,"Edible","x","y","n","t","Musty","f","c","b","w","t","b","s","s","p","p","p","w","o","p","Chocolate","v","d"
1959,"Edible","x","f","g","t","Musty","f","c","b","p","t","b","s","s","w","g","p","w","o","p","Chocolate","y","d"
1960,"Poisonous","f","y","n","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","s","g"
1961,"Edible","x","f","g","t","Musty","f","c","b","u","t","b","s","s","w","g","p","w","o","p","Buff","y","d"
1962,"Edible","x","f","g","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Buff","s","g"
1963,"Edible","x","f","e","t","Musty","f","c","b","u","t","b","s","s","g","g","p","w","o","p","Buff","v","d"
1964,"Edible","f","f","n","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
1965,"Edible","f","s","w","f","Musty","f","w","b","h","t","e","f","f","w","w","p","w","o","e","Chocolate","a","g"
1966,"Edible","f","s","n","f","Musty","f","w","b","p","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1967,"Edible","x","y","e","t","Musty","f","c","b","w","t","b","s","s","w","g","p","w","o","p","Chocolate","v","d"
1968,"Edible","f","s","n","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","s","g"
1969,"Edible","f","f","n","t","Musty","f","c","b","n","t","b","s","s","p","p","p","w","o","p","Chocolate","v","d"
1970,"Edible","f","s","w","f","Musty","f","w","b","h","t","e","s","s","w","w","p","w","o","e","Buff","s","g"
1971,"Edible","x","f","n","f","Musty","f","w","b","k","t","e","f","f","w","w","p","w","o","e","Buff","a","g"
1972,"Edible","f","f","n","f","Musty","f","w","b","h","t","e","s","f","w","w","p","w","o","e","Chocolate","s","g"
1973,"Poisonous","x","s","n","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
1974,"Edible","x","f","n","t","Musty","f","c","b","p","t","b","s","s","w","w","p","w","o","p","Buff","y","d"
1975,"Edible","f","s","n","f","Musty","f","w","b","k","t","e","f","s","w","w","p","w","o","e","Chocolate","s","g"
